dataset,k,mode,threads,edge_time,sort_time,kruskal_time,total_time,merges
2spiral.csv,2,seq,1,0.00410814,0.00973588,7.6494e-05,0.0139207,998
2spiral.csv,2,par,1,0.00453019,0.0101558,5.6313e-05,0.0147426,998
2spiral.csv,2,par,2,0.00421941,0.00872296,6.7492e-05,0.0130101,998
2spiral.csv,2,par,4,0.00370675,0.00868706,6.273e-05,0.0124568,998
2spiral.csv,2,par,8,0.00336481,0.00880239,4.6263e-05,0.0122137,998
3MC.csv,3,seq,1,0.00138124,0.0035058,5.3352e-05,0.00494074,397
3MC.csv,3,par,1,0.00126004,0.00261194,4.9945e-05,0.00392217,397
3MC.csv,3,par,2,0.00131689,0.00363741,4.914e-05,0.00500373,397
3MC.csv,3,par,4,0.00115325,0.00241012,4.8379e-05,0.00361201,397
3MC.csv,3,par,8,0.00115012,0.00403546,6.4809e-05,0.00525068,397
cure-t2-4k.csv,4,seq,1,0.0591401,0.124666,0.0019887,0.185795,4196
cure-t2-4k.csv,4,par,1,0.0541019,0.129489,0.00188238,0.185474,4196
cure-t2-4k.csv,4,par,2,0.0508301,0.150008,0.00205231,0.202891,4196
cure-t2-4k.csv,4,par,4,0.042875,0.124229,0.00177737,0.168881,4196
cure-t2-4k.csv,4,par,8,0.0325242,0.119698,0.00190089,0.154123,4196
banana.csv,2,seq,1,0.0752514,0.152726,0.00179937,0.229776,4809
banana.csv,2,par,1,0.0883798,0.134382,0.00159194,0.224354,4809
banana.csv,2,par,2,0.0757093,0.159776,0.0019255,0.23741,4809
banana.csv,2,par,4,0.048594,0.132545,0.00163831,0.182777,4809
banana.csv,2,par,8,0.0415931,0.143328,0.00158562,0.186507,4809
chainlink.csv,2,seq,1,0.00539312,0.0100845,0.000123463,0.0156014,998
chainlink.csv,2,par,1,0.00553598,0.0110785,0.000125876,0.0167406,998
chainlink.csv,2,par,2,0.0043534,0.00981337,0.000145325,0.0143123,998
chainlink.csv,2,par,4,0.00388809,0.0100771,0.000118594,0.014084,998
chainlink.csv,2,par,8,0.00342593,0.0123128,0.000125855,0.0158649,998
dataset,k,mode,threads,edge_time,sort_time,kruskal_time,total_time,merges
2spiral.csv,2,seq,1,0.00420308,0.0099362,4.6333e-05,0.0141858,998
2spiral.csv,2,par,1,0.00556299,0.0102813,7.6125e-05,0.0159207,998
2spiral.csv,2,par,2,0.00400276,0.00934311,4.5702e-05,0.0133918,998
2spiral.csv,2,par,4,0.00347058,0.0100444,6.0139e-05,0.0135753,998
2spiral.csv,2,par,8,0.00320793,0.010019,5.2682e-05,0.0132798,998
3MC.csv,3,seq,1,0.000955049,0.00300253,5.158e-05,0.00400935,397
3MC.csv,3,par,1,0.00103374,0.00376471,7.9138e-05,0.00487784,397
3MC.csv,3,par,2,0.00135198,0.00884306,5.0165e-05,0.0102455,397
3MC.csv,3,par,4,0.00117874,0.00236871,9.0332e-05,0.0036382,397
3MC.csv,3,par,8,0.00127891,0.00332012,5.7169e-05,0.00465649,397
cure-t2-4k.csv,4,seq,1,0.0571532,0.137724,0.0017966,0.196674,4196
cure-t2-4k.csv,4,par,1,0.0587848,0.138765,0.00178831,0.199339,4196
cure-t2-4k.csv,4,par,2,0.0464989,0.149365,0.00165375,0.197517,4196
cure-t2-4k.csv,4,par,4,0.0383907,0.125404,0.00283497,0.16663,4196
cure-t2-4k.csv,4,par,8,0.0353371,0.130874,0.00212576,0.168337,4196
banana.csv,2,seq,1,0.0754589,0.159761,0.0027916,0.238012,4809
banana.csv,2,par,1,0.0785443,0.136944,0.00199106,0.21748,4809
banana.csv,2,par,2,0.0651128,0.165349,0.00452628,0.234989,4809
banana.csv,2,par,4,0.0667514,0.173568,0.0017217,0.242042,4809
banana.csv,2,par,8,0.0421602,0.158235,0.00161383,0.202009,4809
chainlink.csv,2,seq,1,0.00489251,0.0105014,0.000154118,0.0155483,998
chainlink.csv,2,par,1,0.00550279,0.0106069,0.000126358,0.0162363,998
chainlink.csv,2,par,2,0.00462453,0.0107971,0.000129229,0.0155511,998
chainlink.csv,2,par,4,0.00342612,0.010562,0.000164257,0.0141527,998
chainlink.csv,2,par,8,0.00362205,0.00999796,0.000118259,0.0137386,998
